SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,
2036788,Thương hiệu,CLEAN RESERVE,Kích thước,0.33 oz/ 10 mL,,
2037471,Thương hiệu,Chloé,Kích thước,2.5 oz/ 75 mL,,
2037935,Thương hiệu,Armani Beauty,Kích thước,1.7 oz/ 50 mL,,
2038917,Thương hiệu,TOM FORD,Kích thước,0.33 oz/10 mL,,
2038933,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
2040475,Thương hiệu,CHANEL,Kích thước,1.7 oz/ 50 mL,,
2047801,Thương hiệu,The 7 Virtues,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,
2052546,Thương hiệu,Versace,Kích thước,1.7 oz/ 50 mL,,
2056208,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
2077980,Thương hiệu,Maison Louis Marie,Kích thước,1.7 oz/ 50 mL,,
2098044,Thương hiệu,DIOR,Kích thước,.7 oz / 20 mL eau de toilette rollerball,,
2101293,Thương hiệu,TOM FORD,Kích thước,1.7oz/ 50mL,,
2101368,Thương hiệu,TOM FORD,Kích thước,0.3 oz/ 10 mL,,
2160455,Thương hiệu,BURBERRY,Kích thước,1.6 oz/ 50 mL eau de parfum spray,,
2175727,Thương hiệu,TOM FORD,Kích thước,0.33 oz/ 10 mL,,
2175982,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz / 100 mL,,
2176071,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz/ 100 mL,,
2176196,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL,,
2176584,Thương hiệu,Ellis Brooklyn,Kích thước,0.33oz/10mL,,
2176626,Thương hiệu,Ellis Brooklyn,Kích thước,1.7oz/50mL,,
2177996,Thương hiệu,Maison Margiela,Kích thước,3.4oz/ 100mL,,
2196996,Thương hiệu,CLEAN RESERVE,Kích thước,1oz/30mL,,
2197143,Thương hiệu,CLEAN RESERVE,Kích thước,2 oz / 60 mL,,
2202380,Thương hiệu,Jo Malone London,Kích thước,2 x 0.3oz/9mL,,
2236214,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz/ 50 mL Eau De Parfum Spray,,
2236222,Thương hiệu,By Rosie Jane,Kích thước,1.7 oz/ 50 mL,,
2236255,Thương hiệu,By Rosie Jane,Kích thước,1.7 / 50,,
2238145,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,
2249621,Thương hiệu,Lancôme,Kích thước,1.7 oz/ 50 mL,,
2251205,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
2288025,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz Eau de Parfum Spray,,
2316032,Thương hiệu,Yves Saint Laurent,Kích thước,3.04 oz/ 90 mL,,
2316099,Thương hiệu,CLEAN RESERVE,Kích thước,3.4 oz/ 100 mL,,
2316255,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,
2316362,Thương hiệu,Juliette Has a Gun,Kích thước,3.3 oz/ 100 mL,,
2317345,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL,,
2317352,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL,,
2318756,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
2319424,Thương hiệu,Armani Beauty,Kích thước,1 oz/ 30 mL,,
2320109,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL Eau de Parfum Spray,,
2320133,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL eau de parfum spray,,
2320174,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,
2320240,Thương hiệu,DIOR,Kích thước,0.67 oz/ 20 mL,,
2327278,Thương hiệu,TOM FORD,Kích thước,1.5 oz/ 45 mL,,
2327278,Thương hiệu,TOM FORD,Kích thước,1.5 oz/ 45 mL,,
2355451,Thương hiệu,KILIAN Paris,Kích thước,0.24 oz / 7.5 mL eau de parfum spray,,
2361038,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,
2362812,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz/ 100 mL,,
2362838,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL eau de parfum spray,,
2369288,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,
2369338,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
2369387,Thương hiệu,TOM FORD,Kích thước,0.33 oz/ 10 mL,,
2369940,Thương hiệu,OUAI,Kích thước,0.34 fl oz/ 10 mL,,
2370401,Thương hiệu,Valentino,Kích thước,1.7 oz/ 50 mL,,
2370435,Thương hiệu,Valentino,Kích thước,0.33 oz/ 10 mL,,
2371888,Thương hiệu,Yves Saint Laurent,Kích thước,5.07 oz / 147 mL eau de parfum spray,,
2371987,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,
2373876,Thương hiệu,DIOR,Kích thước,1.7 oz/ 50 mL,,
2376044,Thương hiệu,Sol de Janeiro,Kích thước,3.0 oz/ 90 mL,,
2399764,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 mL,,
2408060,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL eau de toilette spray,,
2408177,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,
2408250,Thương hiệu,Dolce&Gabbana,Kích thước,0.33 oz/ 10 mL,,
2408458,Thương hiệu,Valentino,Kích thước,3.4 oz/ 100 mL,,
2411429,Thương hiệu,NEST New York,Kích thước,1 oz/ 30 mL,,
2411437,Thương hiệu,NEST New York,Kích thước,0.20 oz / 6 ml,,
2427482,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,
2444628,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz/ 3 mL,,
2444628,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz/ 3 mL,,
2461812,Thương hiệu,Sol de Janeiro,Kích thước,3 oz/ 90 mL,,
2465433,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,
2466472,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,
2467157,Thương hiệu,Mugler,Kích thước,3 oz/ 89 mL eau de parfum spray,,
2468098,Thương hiệu,Carolina Herrera,Kích thước,2.7 oz/ 80 mL,,
2468353,Thương hiệu,SKYLAR,Kích thước,0.33 oz/ 10 mL,,
2470714,Thương hiệu,Gucci,Kích thước,3.3 oz / 100 ml eau de parfum spray,,
2471514,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,
2474021,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,
2474237,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,
2480564,Thương hiệu,Viktor&Rolf,Kích thước,3.4 oz eau de parfum spray,,
2483121,Thương hiệu,Moroccanoil,Kích thước,1 oz/ 30 mL,,
2483139,Thương hiệu,Moroccanoil,Kích thước,3.4 oz/ 100 mL,,
2493930,Thương hiệu,KAYALI,Kích thước,0.33 oz/ 10 mL eau de parfum spray,,
2493955,Thương hiệu,KAYALI,Kích thước,3.4 oz/ 100 mL eau de parfum spray,,
2531812,Thương hiệu,DIOR,Kích thước,0.7 oz/ 20 mL,,
2541399,Thương hiệu,Valentino,Kích thước,3.4 oz/100 mL,,
2541530,Thương hiệu,Gucci,Kích thước,1.7 oz/ 50 mL,,
2543627,Thương hiệu,Valentino,Kích thước,.33 oz / 10 mL,,
2543635,Thương hiệu,Valentino,Kích thước,0.33 oz/ 10 mL,,
2544484,Thương hiệu,BURBERRY,Kích thước,3.3 oz/ 100 mL eau de toilette spray,,
2546125,Thương hiệu,Yves Saint Laurent,Kích thước,1.7 oz / 50 mL,,
2549236,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,
2552511,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL eau de parfum spray,,
2553188,Thương hiệu,DIOR,Kích thước,3.4 oz / 100 mL,,
2553311,Thương hiệu,Viktor&Rolf,Kích thước,1.7 oz / 50 mL eau de parfum spray,,
2558807,Thương hiệu,World of Chris Collins,Kích thước,1.7 oz/ 50 mL,,
2562718,Thương hiệu,HERETIC,Kích thước,1.7 oz/ 50 mL eau de parfum,,
2568350,Thương hiệu,PHLUR,Kích thước,1.7 oz/ 50 mL,,
2569747,Thương hiệu,Sol de Janeiro,Kích thước,3.04 oz / 90 mL,,
2576072,Thương hiệu,KILIAN Paris,Kích thước,1.70 oz / 50 mL eau de parfum spray,,
2577443,Thương hiệu,Sol de Janeiro,Kích thước,8.01 oz / 240 mL,,
2577443,Thương hiệu,Sol de Janeiro,Kích thước,8.01 oz / 240 mL,,
