SKU,Tên thuộc tính,Giá trị thuộc tính,Tên thuộc tính,Giá trị thuộc tính,,,Hiện thuộc tính,Thuộc tính mặc định,RegularPrice,price
2361038,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
2362812,Thương hiệu,Marc Jacobs Fragrances,Kích thước,3.3 oz/ 100 mL,,,có,,16,407280
2362838,Thương hiệu,KILIAN Paris,Kích thước,1.7 oz / 50 mL eau de parfum spray,,,có,,"27,5","700012,5"
2369288,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,,có,,30,763650
2369338,Thương hiệu,TOM FORD,Kích thước,1.7 oz/ 50 mL,,,có,,"40,5","1030927,5"
2369387,Thương hiệu,TOM FORD,Kích thước,0.33 oz/ 10 mL,,,có,,"8,5","216367,5"
2369940,Thương hiệu,OUAI,Kích thước,0.34 fl oz/ 10 mL,,,có,,"2,6",66183
2370401,Thương hiệu,Valentino,Kích thước,1.7 oz/ 50 mL,,,có,,"13,5","343642,5"
2370435,Thương hiệu,Valentino,Kích thước,0.33 oz/ 10 mL,,,có,,"3,5","89092,5"
2371888,Thương hiệu,Yves Saint Laurent,Kích thước,5.07 oz / 147 mL eau de parfum spray,,,có,,"19,5","496372,5"
2371987,Thương hiệu,CHANEL,Kích thước,3.4 oz/ 100 mL,,,có,,"14,5","369097,5"
2373876,Thương hiệu,DIOR,Kích thước,1.7 oz/ 50 mL,,,có,,"14,2",361461
2376044,Thương hiệu,Sol de Janeiro,Kích thước,3.0 oz/ 90 mL,,,có,,"2,5","63637,5"
2399764,Thương hiệu,Maison Margiela,Kích thước,3.4 oz / 100 mL,,,có,,"16,5","420007,5"
2408060,Thương hiệu,Gucci,Kích thước,1.6 oz/ 50 mL eau de toilette spray,,,có,,11,280005
2408177,Thương hiệu,Ellis Brooklyn,Kích thước,1.7 oz/ 50 mL Eau de Parfum Spray,,,có,,11,280005
2408250,Thương hiệu,Dolce&Gabbana,Kích thước,0.33 oz/ 10 mL,,,có,,"3,3","84001,5"
2408458,Thương hiệu,Valentino,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
2411429,Thương hiệu,NEST New York,Kích thước,1 oz/ 30 mL,,,có,,"10,2",259641
2411437,Thương hiệu,NEST New York,Kích thước,0.20 oz / 6 ml,,,có,,"3,5","89092,5"
2427482,Thương hiệu,Versace,Kích thước,3.4 oz/ 100 mL,,,có,,"11,5","292732,5"
2444628,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz/ 3 mL,,,có,,"1,3","33091,5"
2444628,Thương hiệu,Maison Louis Marie,Kích thước,0.1 oz/ 3 mL,,,có,,"1,3","33091,5"
2461812,Thương hiệu,Sol de Janeiro,Kích thước,3 oz/ 90 mL,,,có,,"2,5","63637,5"
2465433,Thương hiệu,Maison Margiela,Kích thước,3.4 oz/ 100 mL,,,có,,"16,5","420007,5"
2466472,Thương hiệu,TOM FORD,Kích thước,3.4 oz/ 100 mL,,,có,,30,763650
2467157,Thương hiệu,Mugler,Kích thước,3 oz/ 89 mL eau de parfum spray,,,có,,"18,5","470917,5"
2468098,Thương hiệu,Carolina Herrera,Kích thước,2.7 oz/ 80 mL,,,có,,"16,5","420007,5"
2468353,Thương hiệu,SKYLAR,Kích thước,0.33 oz/ 10 mL,,,có,,3,76365
2470714,Thương hiệu,Gucci,Kích thước,3.3 oz / 100 ml eau de parfum spray,,,có,,"16,8",427644
